timestamp,parcela_id,humedad,temperatura,watermark_cb
2026-04-26 20:06:25,1,90.3,28.4,180.6
2026-04-26 20:06:25,2,79.4,28.9,158.8
2026-04-26 20:06:25,3,39.3,38.4,78.6
2026-04-26 20:06:25,4,80.7,29.5,161.4
2026-04-26 20:06:25,5,68.3,37.3,136.6
2026-04-26 20:06:25,6,64.3,30.4,128.6
2026-04-26 20:06:25,7,47.9,34.8,95.8
2026-04-26 20:06:25,8,80.7,35.1,161.4
2026-04-26 20:06:36,1,93.3,39.4,186.6
2026-04-26 20:06:36,2,77.4,36.7,154.8
2026-04-26 20:06:36,3,37.8,37.9,75.6
2026-04-26 20:06:36,4,79.2,40.8,158.4
2026-04-26 20:06:36,5,66.6,28.2,133.2
2026-04-26 20:06:36,6,62.3,28.0,124.6
2026-04-26 20:06:36,7,46.3,41.2,92.6
2026-04-26 20:06:36,8,78.2,37.7,156.4
2026-04-26 20:06:47,1,96.3,39.6,192.6
2026-04-26 20:06:47,2,75.4,30.7,150.8
2026-04-26 20:06:47,3,36.3,37.5,72.6
2026-04-26 20:06:47,4,77.7,35.1,155.4
2026-04-26 20:06:47,5,69.6,28.3,139.2
2026-04-26 20:06:47,6,60.3,34.9,120.6
2026-04-26 20:06:47,7,44.7,36.4,89.4
2026-04-26 20:06:47,8,75.7,35.6,151.4
2026-04-26 20:07:04,1,99.3,36.8,198.6
2026-04-26 20:07:04,2,73.4,40.3,146.8
2026-04-26 20:07:04,3,34.8,30.3,69.6
2026-04-26 20:07:04,4,76.2,30.1,152.4
2026-04-26 20:07:04,5,72.6,33.1,145.2
2026-04-26 20:07:04,6,58.3,33.2,116.6
2026-04-26 20:07:04,7,43.1,39.0,86.2
2026-04-26 20:07:04,8,73.2,31.7,146.4
2026-04-26 20:07:19,1,100.0,28.5,200.0
2026-04-26 20:07:19,2,71.4,32.5,142.8
2026-04-26 20:07:19,3,37.8,31.7,75.6
2026-04-26 20:07:19,4,74.7,39.8,149.4
2026-04-26 20:07:19,5,75.6,33.0,151.2
2026-04-26 20:07:19,6,56.3,29.9,112.6
2026-04-26 20:07:19,7,41.5,35.5,83.0
2026-04-26 20:07:19,8,70.7,32.2,141.4
2026-04-26 20:07:38,1,100.0,36.1,200.0
2026-04-26 20:07:38,2,69.4,37.8,138.8
2026-04-26 20:07:38,3,40.8,31.5,81.6
2026-04-26 20:07:38,4,73.2,33.3,146.4
2026-04-26 20:07:38,5,78.6,36.3,157.2
2026-04-26 20:07:38,6,54.3,29.0,108.6
2026-04-26 20:07:38,7,39.9,32.4,79.8
2026-04-26 20:07:38,8,68.2,29.2,136.4
2026-04-26 20:07:59,1,100.0,32.8,200.0
2026-04-26 20:07:59,2,67.4,34.4,134.8
2026-04-26 20:07:59,3,43.8,29.6,87.6
2026-04-26 20:07:59,4,71.7,34.2,143.4
2026-04-26 20:07:59,5,81.6,39.8,163.2
2026-04-26 20:07:59,6,52.3,31.9,104.6
2026-04-26 20:07:59,7,42.9,40.9,85.8
2026-04-26 20:07:59,8,65.7,34.1,131.4
2026-04-26 20:08:14,1,100.0,35.2,200.0
2026-04-26 20:08:14,2,65.4,28.8,130.8
2026-04-26 20:08:14,3,46.8,30.5,93.6
2026-04-26 20:08:14,4,70.2,36.9,140.4
2026-04-26 20:08:14,5,84.6,34.6,169.2
2026-04-26 20:08:14,6,55.3,31.8,110.6
2026-04-26 20:08:14,7,45.9,28.6,91.8
2026-04-26 20:08:14,8,68.7,31.1,137.4
2026-04-26 20:08:30,1,100.0,31.2,200.0
2026-04-26 20:08:30,2,61.4,41.7,122.8
2026-04-26 20:08:30,3,52.8,33.1,105.6
2026-04-26 20:08:30,4,67.2,38.4,134.4
2026-04-26 20:08:30,5,90.6,29.4,181.2
2026-04-26 20:08:30,6,61.3,29.9,122.6
2026-04-26 20:08:30,7,51.9,30.0,103.8
2026-04-26 20:08:30,8,74.7,28.8,149.4
2026-04-26 20:08:41,1,100.0,37.6,200.0
2026-04-26 20:08:41,2,57.4,29.6,114.8
2026-04-26 20:08:41,3,58.8,32.4,117.6
2026-04-26 20:08:41,4,64.2,41.8,128.4
2026-04-26 20:08:41,5,96.6,30.8,193.2
2026-04-26 20:08:41,6,67.3,38.8,134.6
2026-04-26 20:08:41,7,57.9,33.2,115.8
2026-04-26 20:08:41,8,80.7,33.2,161.4
2026-04-26 20:08:47,1,100.0,32.6,200.0
2026-04-26 20:08:47,2,53.4,28.8,106.8
2026-04-26 20:08:47,3,64.8,38.4,129.6
2026-04-26 20:08:47,4,61.2,34.5,122.4
2026-04-26 20:08:47,5,100.0,34.1,200.0
2026-04-26 20:08:47,6,73.3,32.0,146.6
2026-04-26 20:08:47,7,63.9,40.1,127.8
2026-04-26 20:08:47,8,86.7,33.3,173.4
2026-04-26 20:12:06,1,100.0,40.0,200.0
2026-04-26 20:12:06,2,59.4,39.2,118.8
2026-04-26 20:12:06,3,70.8,34.5,141.6
2026-04-26 20:12:06,4,58.2,41.9,116.4
2026-04-26 20:12:06,5,100.0,38.9,200.0
2026-04-26 20:12:06,6,79.3,33.0,158.6
2026-04-26 20:12:06,7,69.9,36.1,139.8
2026-04-26 20:12:06,8,92.7,31.8,185.4
2026-04-26 20:12:15,1,96.4,35.8,192.8
2026-04-26 20:12:15,2,65.4,36.6,130.8
2026-04-26 20:12:15,3,67.8,32.5,135.6
2026-04-26 20:12:15,4,55.2,38.1,110.4
2026-04-26 20:12:15,5,96.6,32.1,193.2
2026-04-26 20:12:15,6,75.3,40.8,150.6
2026-04-26 20:12:15,7,66.7,39.8,133.4
2026-04-26 20:12:15,8,87.7,40.1,175.4
2026-04-26 20:12:23,1,92.8,32.4,185.6
2026-04-26 20:12:23,2,71.4,31.8,142.8
2026-04-26 20:12:23,3,73.8,29.0,147.6
2026-04-26 20:12:23,4,52.2,40.1,104.4
2026-04-26 20:12:23,5,93.2,40.3,186.4
2026-04-26 20:12:23,6,71.3,37.6,142.6
2026-04-26 20:12:23,7,63.5,40.7,127.0
2026-04-26 20:12:23,8,82.7,35.9,165.4
2026-04-26 20:12:32,1,89.2,38.3,178.4
2026-04-26 20:12:32,2,77.4,37.8,154.8
2026-04-26 20:12:32,3,79.8,36.6,159.6
2026-04-26 20:12:32,4,49.2,31.8,98.4
2026-04-26 20:12:32,5,99.2,39.4,198.4
2026-04-26 20:12:32,6,67.3,31.4,134.6
2026-04-26 20:12:32,7,60.3,33.9,120.6
2026-04-26 20:12:32,8,77.7,34.3,155.4
2026-04-26 20:13:06,1,85.6,33.3,171.2
2026-04-26 20:13:06,2,83.4,33.6,166.8
2026-04-26 20:13:06,3,85.8,29.8,171.6
2026-04-26 20:13:06,4,46.2,35.9,92.4
2026-04-26 20:13:06,5,100.0,37.3,200.0
2026-04-26 20:13:06,6,63.3,38.5,126.6
2026-04-26 20:13:06,7,57.1,34.0,114.2
2026-04-26 20:13:06,8,72.7,32.2,145.4
2026-04-26 20:14:31,1,82.0,34.1,164.0
2026-04-26 20:14:31,2,89.4,34.1,178.8
2026-04-26 20:14:31,3,91.8,32.0,183.6
2026-04-26 20:14:31,4,43.2,35.7,86.4
2026-04-26 20:14:31,5,100.0,35.4,200.0
2026-04-26 20:14:31,6,59.3,34.8,118.6
2026-04-26 20:14:31,7,53.9,32.4,107.8
2026-04-26 20:14:31,8,67.7,40.3,135.4
2026-04-26 20:16:23,1,78.4,38.9,156.8
2026-04-26 20:16:23,2,95.4,40.0,190.8
2026-04-26 20:16:23,3,97.8,36.8,195.6
2026-04-26 20:16:23,4,40.2,33.2,80.4
2026-04-26 20:16:23,5,100.0,28.5,200.0
2026-04-26 20:16:23,6,55.3,37.5,110.6
2026-04-26 20:16:23,7,50.7,40.3,101.4
2026-04-26 20:16:23,8,62.7,32.4,125.4
2026-04-26 20:26:13,1,76.6,37.7,153.2
2026-04-26 20:26:13,2,93.4,37.1,186.8
2026-04-26 20:26:13,3,96.3,29.7,192.6
2026-04-26 20:26:13,4,38.7,35.1,77.4
2026-04-26 20:26:13,5,98.3,35.3,196.6
2026-04-26 20:26:13,6,53.3,40.0,106.6
2026-04-26 20:26:13,7,49.1,30.2,98.2
2026-04-26 20:26:13,8,60.2,38.8,120.4
2026-04-26 20:26:23,1,74.8,28.1,149.6
2026-04-26 20:26:23,2,91.4,41.8,182.8
2026-04-26 20:26:23,3,94.8,28.3,189.6
2026-04-26 20:26:23,4,37.2,31.6,74.4
2026-04-26 20:26:23,5,96.6,35.4,193.2
2026-04-26 20:26:23,6,51.3,31.1,102.6
2026-04-26 20:26:23,7,47.5,28.7,95.0
2026-04-26 20:26:23,8,57.7,39.3,115.4
2026-04-26 20:26:33,1,73.0,41.0,146.0
2026-04-26 20:26:33,2,89.4,34.1,178.8
2026-04-26 20:26:33,3,93.3,28.5,186.6
2026-04-26 20:26:33,4,35.7,36.6,71.4
2026-04-26 20:26:33,5,94.9,35.1,189.8
2026-04-26 20:26:33,6,49.3,35.5,98.6
2026-04-26 20:26:33,7,45.9,33.0,91.8
2026-04-26 20:26:33,8,55.2,29.8,110.4
2026-04-26 20:26:44,1,71.2,40.3,142.4
2026-04-26 20:26:44,2,87.4,34.4,174.8
2026-04-26 20:26:44,3,91.8,39.6,183.6
2026-04-26 20:26:44,4,34.2,28.6,68.4
2026-04-26 20:26:44,5,93.2,30.3,186.4
2026-04-26 20:26:44,6,47.3,33.3,94.6
2026-04-26 20:26:44,7,44.3,33.3,88.6
2026-04-26 20:26:44,8,52.7,35.7,105.4
2026-04-26 20:26:54,1,69.4,37.5,138.8
2026-04-26 20:26:54,2,85.4,38.8,170.8
2026-04-26 20:26:54,3,90.3,40.4,180.6
2026-04-26 20:26:54,4,32.7,38.9,65.4
2026-04-26 20:26:54,5,91.5,30.0,183.0
2026-04-26 20:26:54,6,45.3,37.8,90.6
2026-04-26 20:26:54,7,42.7,38.7,85.4
2026-04-26 20:26:54,8,50.2,29.5,100.4
2026-04-26 20:27:04,1,67.6,34.9,135.2
2026-04-26 20:27:04,2,83.4,39.6,166.8
2026-04-26 20:27:04,3,88.8,37.7,177.6
2026-04-26 20:27:04,4,31.2,35.1,62.4
2026-04-26 20:27:04,5,89.8,35.5,179.6
2026-04-26 20:27:04,6,43.3,35.4,86.6
2026-04-26 20:27:04,7,41.1,30.0,82.2
2026-04-26 20:27:04,8,47.7,40.2,95.4
2026-04-26 20:27:14,1,65.8,37.9,131.6
2026-04-26 20:27:14,2,81.4,34.9,162.8
2026-04-26 20:27:14,3,87.3,32.8,174.6
2026-04-26 20:27:14,4,34.2,30.6,68.4
2026-04-26 20:27:14,5,88.1,36.7,176.2
2026-04-26 20:27:14,6,41.3,30.0,82.6
2026-04-26 20:27:14,7,39.5,38.6,79.0
2026-04-26 20:27:14,8,45.2,33.9,90.4
2026-04-26 20:27:24,1,64.0,38.2,128.0
2026-04-26 20:27:24,2,79.4,33.2,158.8
2026-04-26 20:27:24,3,85.8,33.8,171.6
2026-04-26 20:27:24,4,37.2,31.8,74.4
2026-04-26 20:27:24,5,86.4,33.1,172.8
2026-04-26 20:27:24,6,39.3,41.1,78.6
2026-04-26 20:27:24,7,37.9,30.0,75.8
2026-04-26 20:27:24,8,42.7,37.1,85.4
2026-04-26 20:27:34,1,62.2,37.0,124.4
2026-04-26 20:27:34,2,77.4,36.4,154.8
2026-04-26 20:27:34,3,84.3,37.3,168.6
2026-04-26 20:27:34,4,40.2,31.2,80.4
2026-04-26 20:27:34,5,84.7,32.0,169.4
2026-04-26 20:27:34,6,37.3,39.7,74.6
2026-04-26 20:27:34,7,36.3,31.2,72.6
2026-04-26 20:27:34,8,40.2,30.2,80.4
2026-04-26 20:27:44,1,60.4,31.3,120.8
2026-04-26 20:27:44,2,75.4,31.0,150.8
2026-04-26 20:27:44,3,82.8,36.6,165.6
2026-04-26 20:27:44,4,43.2,38.5,86.4
2026-04-26 20:27:44,5,83.0,30.7,166.0
2026-04-26 20:27:44,6,35.3,29.6,70.6
2026-04-26 20:27:44,7,34.7,30.3,69.4
2026-04-26 20:27:44,8,37.7,39.6,75.4
2026-04-26 20:27:54,1,58.6,29.3,117.2
2026-04-26 20:27:54,2,73.4,41.6,146.8
2026-04-26 20:27:54,3,81.3,37.2,162.6
2026-04-26 20:27:54,4,46.2,34.5,92.4
2026-04-26 20:27:54,5,81.3,38.2,162.6
2026-04-26 20:27:54,6,33.3,31.6,66.6
2026-04-26 20:27:54,7,33.1,38.9,66.2
2026-04-26 20:27:54,8,35.2,39.9,70.4
2026-04-26 20:28:12,1,56.8,33.6,113.6
2026-04-26 20:28:12,2,71.4,34.7,142.8
2026-04-26 20:28:12,3,79.8,31.8,159.6
2026-04-26 20:28:12,4,44.7,29.6,89.4
2026-04-26 20:28:12,5,79.6,40.5,159.2
2026-04-26 20:28:12,6,31.3,29.0,62.6
2026-04-26 20:28:12,7,31.5,39.4,63.0
2026-04-26 20:28:12,8,32.7,29.1,65.4
2026-04-26 20:28:22,1,55.0,33.1,110.0
2026-04-26 20:28:22,2,69.4,40.6,138.8
2026-04-26 20:28:22,3,78.3,35.7,156.6
2026-04-26 20:28:22,4,43.2,38.4,86.4
2026-04-26 20:28:22,5,77.9,30.3,155.8
2026-04-26 20:28:22,6,29.3,31.0,58.6
2026-04-26 20:28:22,7,29.9,34.8,59.8
2026-04-26 20:28:22,8,30.2,38.4,60.4
2026-04-26 20:28:32,1,53.2,37.0,106.4
2026-04-26 20:28:32,2,67.4,35.4,134.8
2026-04-26 20:28:32,3,76.8,36.1,153.6
2026-04-26 20:28:32,4,41.7,28.5,83.4
2026-04-26 20:28:32,5,76.2,28.6,152.4
2026-04-26 20:28:32,6,27.3,36.7,54.6
2026-04-26 20:28:32,7,28.3,40.2,56.6
2026-04-26 20:28:32,8,27.7,35.1,55.4
2026-04-26 20:28:42,1,51.4,40.4,102.8
2026-04-26 20:28:42,2,65.4,31.0,130.8
2026-04-26 20:28:42,3,75.3,35.8,150.6
2026-04-26 20:28:42,4,40.2,30.9,80.4
2026-04-26 20:28:42,5,74.5,31.7,149.0
2026-04-26 20:28:42,6,25.3,37.2,50.6
2026-04-26 20:28:42,7,26.7,29.5,53.4
2026-04-26 20:28:42,8,25.2,36.3,50.4
2026-04-26 20:28:52,1,49.6,37.1,99.2
2026-04-26 20:28:52,2,63.4,29.6,126.8
2026-04-26 20:28:52,3,73.8,30.0,147.6
2026-04-26 20:28:52,4,38.7,32.3,77.4
2026-04-26 20:28:52,5,72.8,41.4,145.6
2026-04-26 20:28:52,6,23.3,30.4,46.6
2026-04-26 20:28:52,7,25.1,34.8,50.2
2026-04-26 20:28:52,8,22.7,37.9,45.4
2026-04-26 20:29:02,1,47.8,34.7,95.6
2026-04-26 20:29:02,2,61.4,40.5,122.8
2026-04-26 20:29:02,3,72.3,39.0,144.6
2026-04-26 20:29:02,4,37.2,29.5,74.4
2026-04-26 20:29:02,5,71.1,34.3,142.2
2026-04-26 20:29:02,6,26.3,35.9,52.6
2026-04-26 20:29:02,7,28.1,30.4,56.2
2026-04-26 20:29:02,8,25.7,38.6,51.4
2026-04-26 20:29:13,1,46.0,29.3,92.0
2026-04-26 20:29:13,2,59.4,36.7,118.8
2026-04-26 20:29:13,3,70.8,38.6,141.6
2026-04-26 20:29:13,4,35.7,32.8,71.4
2026-04-26 20:29:13,5,69.4,33.8,138.8
2026-04-26 20:29:13,6,29.3,32.0,58.6
2026-04-26 20:29:13,7,31.1,29.6,62.2
2026-04-26 20:29:13,8,28.7,41.9,57.4
2026-04-26 20:29:23,1,44.2,37.8,88.4
2026-04-26 20:29:23,2,57.4,31.5,114.8
2026-04-26 20:29:23,3,69.3,40.9,138.6
2026-04-26 20:29:23,4,34.2,41.4,68.4
2026-04-26 20:29:23,5,67.7,39.9,135.4
2026-04-26 20:29:23,6,32.3,39.6,64.6
2026-04-26 20:29:23,7,34.1,34.0,68.2
2026-04-26 20:29:23,8,31.7,32.5,63.4
2026-04-26 20:29:33,1,42.4,29.5,84.8
2026-04-26 20:29:33,2,55.4,38.7,110.8
2026-04-26 20:29:33,3,67.8,32.5,135.6
2026-04-26 20:29:33,4,37.2,35.9,74.4
2026-04-26 20:29:33,5,66.0,31.5,132.0
2026-04-26 20:29:33,6,35.3,30.0,70.6
2026-04-26 20:29:33,7,37.1,38.6,74.2
2026-04-26 20:29:33,8,34.7,39.3,69.4
2026-04-26 20:29:43,1,40.6,41.2,81.2
2026-04-26 20:29:43,2,53.4,30.6,106.8
2026-04-26 20:29:43,3,66.3,39.9,132.6
2026-04-26 20:29:43,4,40.2,41.5,80.4
2026-04-26 20:29:43,5,64.3,39.8,128.6
2026-04-26 20:29:43,6,38.3,39.8,76.6
2026-04-26 20:29:43,7,40.1,41.3,80.2
2026-04-26 20:29:43,8,37.7,31.5,75.4
2026-04-26 20:29:53,1,38.8,38.3,77.6
2026-04-26 20:29:53,2,51.4,32.4,102.8
2026-04-26 20:29:53,3,64.8,31.0,129.6
2026-04-26 20:29:53,4,43.2,30.7,86.4
2026-04-26 20:29:53,5,62.6,40.6,125.2
2026-04-26 20:29:53,6,41.3,31.5,82.6
2026-04-26 20:29:53,7,43.1,31.8,86.2
2026-04-26 20:29:53,8,40.7,41.6,81.4
2026-04-26 20:30:03,1,37.0,34.5,74.0
2026-04-26 20:30:03,2,49.4,32.0,98.8
2026-04-26 20:30:03,3,63.3,35.2,126.6
2026-04-26 20:30:03,4,46.2,37.9,92.4
2026-04-26 20:30:03,5,60.9,28.6,121.8
2026-04-26 20:30:03,6,44.3,41.4,88.6
2026-04-26 20:30:03,7,46.1,31.7,92.2
2026-04-26 20:30:03,8,43.7,35.2,87.4
2026-04-26 20:30:14,1,35.2,40.9,70.4
2026-04-26 20:30:14,2,47.4,30.7,94.8
2026-04-26 20:30:14,3,61.8,40.0,123.6
2026-04-26 20:30:14,4,49.2,40.6,98.4
2026-04-26 20:30:14,5,59.2,38.6,118.4
2026-04-26 20:30:14,6,47.3,32.3,94.6
2026-04-26 20:30:14,7,49.1,38.7,98.2
2026-04-26 20:30:14,8,46.7,28.5,93.4
2026-04-26 20:30:24,1,33.4,37.5,66.8
2026-04-26 20:30:24,2,45.4,30.6,90.8
2026-04-26 20:30:24,3,60.3,34.5,120.6
2026-04-26 20:30:24,4,52.2,31.3,104.4
2026-04-26 20:30:24,5,57.5,34.3,115.0
2026-04-26 20:30:24,6,50.3,38.8,100.6
2026-04-26 20:30:24,7,52.1,31.0,104.2
2026-04-26 20:30:24,8,49.7,33.4,99.4
2026-04-26 20:30:34,1,36.4,40.3,72.8
2026-04-26 20:30:34,2,43.4,40.8,86.8
2026-04-26 20:30:34,3,58.8,35.9,117.6
2026-04-26 20:30:34,4,55.2,39.5,110.4
2026-04-26 20:30:34,5,55.8,32.2,111.6
2026-04-26 20:30:34,6,53.3,29.5,106.6
2026-04-26 20:30:34,7,55.1,37.2,110.2
2026-04-26 20:30:34,8,52.7,41.2,105.4
2026-04-26 20:30:44,1,39.4,39.8,78.8
2026-04-26 20:30:44,2,41.4,41.3,82.8
2026-04-26 20:30:44,3,57.3,40.6,114.6
2026-04-26 20:30:44,4,58.2,39.0,116.4
2026-04-26 20:30:44,5,54.1,37.8,108.2
2026-04-26 20:30:44,6,56.3,41.1,112.6
